,행정구역,연도,월,평당분양가격,인구수,경제활동인구,소득
0,서울특별시,2013,12,18189.0,9990010,5355000,316
1,부산광역시,2013,12,8111.0,3455734,1737000,252
2,대구광역시,2013,12,8080.0,2475657,1246000,231
3,인천광역시,2013,12,10204.0,2829608,1511000,260
4,광주광역시,2013,12,6098.0,1503835,727000,241
5,대전광역시,2013,12,8321.0,1545232,757000,272
6,울산광역시,2013,12,8090.0,1137472,566000,283
7,경기도,2013,12,10855.0,12126274,6200000,273
8,세종특별자치시,2013,12,7601.0,118463,0,0
9,강원도,2013,12,6230.0,1505686,723000,243
10,충청북도,2013,12,6589.0,1564816,800000,251
11,충청남도,2013,12,6365.0,2062301,1173000,273
12,전라북도,2013,12,6282.0,1820969,913000,240
13,전라남도,2013,12,5678.0,1783896,963000,272
14,경상북도,2013,12,6168.0,2660941,1448000,261
15,경상남도,2013,12,6473.0,3277965,1676000,261
16,제주특별자치도,2013,12,7674.0,570034,315000,221
17,서울특별시,2014,1,17925.0,9975163,5449000,319
18,부산광역시,2014,1,8111.0,3452309,1760000,255
19,대구광역시,2014,1,8080.0,2474900,1275000,235
20,인천광역시,2014,1,10204.0,2862241,1544000,263
21,광주광역시,2014,1,7326.0,1504582,753000,249
22,대전광역시,2014,1,8321.0,1552692,788000,280
23,울산광역시,2014,1,8090.0,1151171,572000,295
24,경기도,2014,1,10855.0,12282013,6488000,278
25,세종특별자치시,2014,1,7600.0,132437,0,0
26,강원도,2014,1,6230.0,1510198,743000,248
27,충청북도,2014,1,6589.0,1578403,848000,253
28,충청남도,2014,1,6365.0,2087600,1203000,284
29,전라북도,2014,1,6281.0,1829437,923000,246
30,전라남도,2014,1,5678.0,1791887,973000,278
31,경상북도,2014,1,6168.0,2670922,1485000,270
32,경상남도,2014,1,6485.0,3307369,1702000,267
33,제주특별자치도,2014,1,7900.0,583335,329000,224
34,서울특별시,2014,2,17925.0,9975163,5449000,319
35,부산광역시,2014,2,9078.0,3452309,1760000,255
36,대구광역시,2014,2,8077.0,2474900,1275000,235
37,인천광역시,2014,2,10408.0,2862241,1544000,263
38,광주광역시,2014,2,7611.0,1504582,753000,249
39,대전광역시,2014,2,8321.0,1552692,788000,280
40,울산광역시,2014,2,8090.0,1151171,572000,295
41,경기도,2014,2,10791.0,12282013,6488000,278
42,세종특별자치시,2014,2,7532.0,132437,0,0
43,강원도,2014,2,6230.0,1510198,743000,248
44,충청북도,2014,2,6611.0,1578403,848000,253
45,충청남도,2014,2,6379.0,2087600,1203000,284
46,전라북도,2014,2,5946.0,1829437,923000,246
47,전라남도,2014,2,5678.0,1791887,973000,278
48,경상북도,2014,2,6234.0,2670922,1485000,270
49,경상남도,2014,2,6502.0,3307369,1702000,267
50,제주특별자치도,2014,2,7900.0,583335,329000,224
51,서울특별시,2014,3,18016.0,9975163,5449000,319
52,부산광역시,2014,3,8965.0,3452309,1760000,255
53,대구광역시,2014,3,8101.0,2474900,1275000,235
