,지역명,연도,월,평당분양가격
0,서울,2013,12,18189.0
1,부산,2013,12,8111.0
2,대구,2013,12,8080.0
3,인천,2013,12,10204.0
4,광주,2013,12,6098.0
5,대전,2013,12,8321.0
6,울산,2013,12,8090.0
7,경기,2013,12,10855.0
8,세종,2013,12,7601.0
9,강원,2013,12,6230.0
10,충북,2013,12,6589.0
11,충남,2013,12,6365.0
12,전북,2013,12,6282.0
13,전남,2013,12,5678.0
14,경북,2013,12,6168.0
15,경남,2013,12,6473.0
16,제주,2013,12,7674.0
17,서울,2014,1,17925.0
18,부산,2014,1,8111.0
19,대구,2014,1,8080.0
20,인천,2014,1,10204.0
21,광주,2014,1,7326.0
22,대전,2014,1,8321.0
23,울산,2014,1,8090.0
24,경기,2014,1,10855.0
25,세종,2014,1,7600.0
26,강원,2014,1,6230.0
27,충북,2014,1,6589.0
28,충남,2014,1,6365.0
29,전북,2014,1,6281.0
30,전남,2014,1,5678.0
31,경북,2014,1,6168.0
32,경남,2014,1,6485.0
33,제주,2014,1,7900.0
34,서울,2014,2,17925.0
35,부산,2014,2,9078.0
36,대구,2014,2,8077.0
37,인천,2014,2,10408.0
38,광주,2014,2,7611.0
39,대전,2014,2,8321.0
40,울산,2014,2,8090.0
41,경기,2014,2,10791.0
42,세종,2014,2,7532.0
43,강원,2014,2,6230.0
44,충북,2014,2,6611.0
45,충남,2014,2,6379.0
46,전북,2014,2,5946.0
47,전남,2014,2,5678.0
48,경북,2014,2,6234.0
49,경남,2014,2,6502.0
50,제주,2014,2,7900.0
51,서울,2014,3,18016.0
52,부산,2014,3,8965.0
53,대구,2014,3,8101.0
54,인천,2014,3,10408.0
55,광주,2014,3,7346.0
56,대전,2014,3,8341.0
57,울산,2014,3,8153.0
58,경기,2014,3,10784.0
59,세종,2014,3,7814.0
60,강원,2014,3,6141.0
61,충북,2014,3,6625.0
62,충남,2014,3,6287.0
63,전북,2014,3,5966.0
64,전남,2014,3,5696.0
65,경북,2014,3,6317.0
66,경남,2014,3,6610.0
67,제주,2014,3,7900.0
68,서울,2014,4,18098.0
69,부산,2014,4,9402.0
70,대구,2014,4,8267.0
71,인천,2014,4,10000.0
72,광주,2014,4,7346.0
73,대전,2014,4,8341.0
74,울산,2014,4,8153.0
75,경기,2014,4,10876.0
76,세종,2014,4,7908.0
77,강원,2014,4,6373.0
78,충북,2014,4,6678.0
79,충남,2014,4,6552.0
80,전북,2014,4,6277.0
81,전남,2014,4,5736.0
82,경북,2014,4,6412.0
83,경남,2014,4,6599.0
84,제주,2014,4,7900.0
85,서울,2014,5,19446.0
86,부산,2014,5,9501.0
87,대구,2014,5,8274.0
88,인천,2014,5,9844.0
89,광주,2014,5,7523.0
90,대전,2014,5,8341.0
91,울산,2014,5,8153.0
92,경기,2014,5,10646.0
93,세종,2014,5,7934.0
94,강원,2014,5,6350.0
95,충북,2014,5,6598.0
96,충남,2014,5,6591.0
97,전북,2014,5,6306.0
98,전남,2014,5,5656.0
99,경북,2014,5,6409.0
100,경남,2014,5,6610.0
101,제주,2014,5,7900.0
102,서울,2014,6,18867.0
103,부산,2014,6,9453.0
104,대구,2014,6,8360.0
105,인천,2014,6,10058.0
106,광주,2014,6,7659.0
107,대전,2014,6,8333.0
108,울산,2014,6,8153.0
109,경기,2014,6,10266.0
110,세종,2014,6,8067.0
111,강원,2014,6,6350.0
112,충북,2014,6,6587.0
113,충남,2014,6,6644.0
114,전북,2014,6,6351.0
115,전남,2014,6,5609.0
116,경북,2014,6,6554.0
117,경남,2014,6,6615.0
118,제주,2014,6,7914.0
119,서울,2014,7,18742.0
120,부산,2014,7,9457.0
121,대구,2014,7,8360.0
122,인천,2014,7,9974.0
123,광주,2014,7,7612.0
124,대전,2014,7,8333.0
125,울산,2014,7,8153.0
126,경기,2014,7,10124.0
127,세종,2014,7,8067.0
128,강원,2014,7,6268.0
129,충북,2014,7,6586.0
130,충남,2014,7,6805.0
131,전북,2014,7,6319.0
132,전남,2014,7,5780.0
133,경북,2014,7,6556.0
134,경남,2014,7,6613.0
135,제주,2014,7,7914.0
136,서울,2014,8,19274.0
137,부산,2014,8,9411.0
138,대구,2014,8,8370.0
139,인천,2014,8,9973.0
140,광주,2014,8,7622.0
141,대전,2014,8,8333.0
142,울산,2014,8,8493.0
143,경기,2014,8,10134.0
144,세종,2014,8,8141.0
145,강원,2014,8,6268.0
146,충북,2014,8,6586.0
147,충남,2014,8,6914.0
148,전북,2014,8,6436.0
149,전남,2014,8,5685.0
150,경북,2014,8,6563.0
151,경남,2014,8,6606.0
152,제주,2014,8,7914.0
153,서울,2014,9,19404.0
154,부산,2014,9,9258.0
155,대구,2014,9,8449.0
156,인천,2014,9,9973.0
157,광주,2014,9,7802.0
158,대전,2014,9,8048.0
159,울산,2014,9,8493.0
160,경기,2014,9,10501.0
161,세종,2014,9,8282.0
162,강원,2014,9,6419.0
163,충북,2014,9,6584.0
164,충남,2014,9,6882.0
165,전북,2014,9,6719.0
166,전남,2014,9,5804.0
167,경북,2014,9,6577.0
168,경남,2014,9,6767.0
169,제주,2014,9,7833.0
170,서울,2014,10,19759.0
171,부산,2014,10,9110.0
172,대구,2014,10,8403.0
173,인천,2014,10,10016.0
174,광주,2014,10,7707.0
175,대전,2014,10,8038.0
176,울산,2014,10,8627.0
177,경기,2014,10,10397.0
178,세종,2014,10,8527.0
179,강원,2014,10,6631.0
180,충북,2014,10,6529.0
181,충남,2014,10,6831.0
182,전북,2014,10,6581.0
183,전남,2014,10,5753.0
184,경북,2014,10,6778.0
185,경남,2014,10,6881.0
186,제주,2014,10,7724.0
187,서울,2014,11,20242.0
188,부산,2014,11,9208.0
189,대구,2014,11,8439.0
190,인천,2014,11,10020.0
191,광주,2014,11,7752.0
192,대전,2014,11,8067.0
193,울산,2014,11,8891.0
194,경기,2014,11,10356.0
195,세종,2014,11,8592.0
196,강원,2014,11,6365.0
197,충북,2014,11,6724.0
198,충남,2014,11,6940.0
199,전북,2014,11,6583.0
200,전남,2014,11,5768.0
201,경북,2014,11,6881.0
202,경남,2014,11,7125.0
203,제주,2014,11,7724.0
204,서울,2014,12,20269.0
205,부산,2014,12,9208.0
206,대구,2014,12,8253.0
207,인천,2014,12,10020.0
208,광주,2014,12,7748.0
209,대전,2014,12,8067.0
210,울산,2014,12,8891.0
211,경기,2014,12,10379.0
212,세종,2014,12,8560.0
213,강원,2014,12,6365.0
214,충북,2014,12,6743.0
215,충남,2014,12,6989.0
216,전북,2014,12,6583.0
217,전남,2014,12,5784.0
218,경북,2014,12,6989.0
219,경남,2014,12,7332.0
220,제주,2014,12,7739.0
221,서울,2015,1,20670.0
222,부산,2015,1,9204.0
223,대구,2015,1,8327.0
224,인천,2015,1,10017.0
225,광주,2015,1,7752.0
226,대전,2015,1,8067.0
227,울산,2015,1,8526.0
228,경기,2015,1,10391.0
229,세종,2015,1,8560.0
230,강원,2015,1,6348.0
231,충북,2015,1,6749.0
232,충남,2015,1,6976.0
233,전북,2015,1,6583.0
